SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,11 Mine Hill Rd,Cornwall,NY,12518,269000,3,1.0,Cornwall,1344,35283,1955,2,200,,Active,,,http://www.redfin.com/NY/Cornwall/11-Mine-Hill-Rd-12518/home/54936764,HGMLS,5029942,N,Y,41.4101794,-74.0527553
MLS Listing,,Single Family Residential,4 Jaeger Dr,Cornwall,NY,12518,259900,3,1.0,Cornwall,1325,6534,1953,2,196,,Active,,,http://www.redfin.com/NY/Cornwall/4-Jaeger-Dr-12518/home/54900886,HGMLS,5030178,N,Y,41.4358665,-74.0444937
MLS Listing,,Vacant Land,6 Westlin Ln,Cornwall,NY,12518,125000,,,Cornwall,,148975,,3,,,Active,,,http://www.redfin.com/NY/Cornwall/6-Westlin-Ln-12518/home/72589653,HGMLS,5030120,N,Y,41.410102,-74.051023
MLS Listing,,Single Family Residential,6 Iris Rd,Cornwall,NY,12518,299900,3,2.0,Cornwall,1888,60983,1960,3,159,,Active,,,http://www.redfin.com/NY/Cornwall/6-Iris-Rd-12518/home/54915695,HGMLS,5016231,N,Y,41.409247,-74.0556008
MLS Listing,,Single Family Residential,169 Willow Ave,Cornwall,NY,12518,455000,4,3.0,Cornwall,2612,23522,1990,6,174,,Active,,,http://www.redfin.com/NY/Cornwall/169-Willow-Ave-12518/home/92374894,HGMLS,5017967,N,Y,41.4415913,-74.0437135
MLS Listing,,Single Family Residential,81 Holloran Rd,New Windsor,NY,12553,295000,3,2.5,New Windsor,2866,43560,1996,7,103,,Active,,,http://www.redfin.com/NY/New-Windsor/81-Holloran-Rd-12553/home/54943386,HGMLS,5023125,N,Y,41.441474,-74.0622556
MLS Listing,,Single Family Residential,8 Grandview Ave,Cornwall On Hudson,NY,12520,485000,2,2.0,Cornwall-on-Hudson,1740,9583,1942,10,279,,Active,,,http://www.redfin.com/NY/Cornwall-On-Hudson/8-Grandview-Ave-12520/home/54886929,HGMLS,5010060,N,Y,41.4443988,-74.0059469
MLS Listing,,Vacant Land,180 Orrs Mills Rd,Salisburymills,NY,12577,199900,,,Salisburymills,,520106,,10,,,Active,,,http://www.redfin.com/NY/Salisbury-Mills/180-Orrs-Mills-Rd-12577/home/72589872,HGMLS,5021347,N,Y,41.429394,-74.1007754
MLS Listing,,Condo/Co-op,73 Manor Dr #73,Cornwall,NY,12518,66900,1,1.0,Cornwall,700,,1965,10,96,,Active,,,http://www.redfin.com/NY/Cornwall/73-Manor-Dr-12518/unit-73/home/168641296,HGMLS,5018220,N,Y,41.4401186,-74.0410942
MLS Listing,,Single Family Residential,1408 State Route 94,New Windsor,NY,12553,35000,2,0.5,New Windsor,620,12632,1956,12,56,,Active,,,http://www.redfin.com/NY/New-Windsor/1408-NY-94-12553/home/72599732,HGMLS,5018680,N,Y,41.442669,-74.0888219
MLS Listing,,Single Family Residential,1420 State Route 94,New Windsor,NY,12553,105000,2,,New Windsor,320,47916,1948,12,328,,Active,,,http://www.redfin.com/NY/New-Windsor/1420-NY-94-12553/home/72599731,HGMLS,5019105,N,Y,41.442601,-74.0884708
MLS Listing,,Single Family Residential,5 Columbus Ave,Cornwall On Hudson,NY,12520,265000,3,2.5,Cornwall-on-Hudson,1260,4791,1928,15,210,,Active,,,http://www.redfin.com/NY/Cornwall-On-Hudson/5-Columbus-Ave-12520/home/54932728,HGMLS,5013927,N,Y,41.4449531,-74.0182381
MLS Listing,,Single Family Residential,16 Frost Ln,Cornwall,NY,12518,259900,3,2.0,Cornwall,1936,11761,1968,16,134,,Active,,,http://www.redfin.com/NY/Cornwall/16-Frost-Ln-12518/home/54936045,HGMLS,5010039,N,Y,41.444843,-74.043708
MLS Listing,,Single Family Residential,55 Mine Hill Rd,Cornwall,NY,12518,429000,3,3.0,Cornwall,1767,40510,1989,17,243,,Active,,,http://www.redfin.com/NY/Cornwall/55-Mine-Hill-Rd-12518/home/54914267,HGMLS,5002766,N,Y,41.4035301,-74.0484524
MLS Listing,,Single Family Residential,6 Pea Hill Rd,Cornwall,NY,12518,289000,4,2.5,Cornwall,2184,130680,1970,20,132,,Active,,,http://www.redfin.com/NY/Cornwall/6-Pea-Hill-RD-12518/home/164678023,HGMLS,5010887,N,Y,41.4343383,-74.0353681
MLS Listing,,Single Family Residential,103 Clover Ct,Cornwall On Hudson,NY,12520,565000,4,2.5,Cornwall-on-Hudson,3054,10890,2019,21,185,,Active,,,http://www.redfin.com/NY/Cornwall-On-Hudson/103-Clover-Hill-Rd-12520/home/168145324,HGMLS,5009383,N,Y,41.4375462,-74.021335
MLS Listing,,Single Family Residential,18 Clarkwood Dr,Cornwall,NY,12518,409900,4,2.5,Cornwall,2368,47916,1978,21,173,,Active,,,http://www.redfin.com/NY/Cornwall/18-Clarkwood-Dr-12518/home/54900646,HGMLS,5003278,N,Y,41.4021427,-74.0598691
MLS Listing,,Single Family Residential,491 Angola Rd,Cornwall,NY,12518,399000,5,2.5,Cornwall,2036,43560,1972,21,196,,Active,,,http://www.redfin.com/NY/Cornwall/491-Angola-Rd-12518/home/54924767,HGMLS,4951318,N,Y,41.4069857,-74.0606493
MLS Listing,,Condo/Co-op,129 Main St Unit D7,Cornwall,NY,12518,137000,2,1.5,Cornwall,987,435,1973,23,139,400,Active,,,http://www.redfin.com/NY/Cornwall/129-Main-St-12518/unit-D7/home/72580428,HGMLS,5008158,N,Y,41.4422894,-74.0287374
